Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,638.4876157407407,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,135.62581018518517,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,109.24456018518518,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,116.66273148148149,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,82.5,5.0,70.0,8500.0,340000.0,724.9992766203703,0.4888484691005153
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,724.9995949074074,0.4942618336148283
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,724.9991030092592,0.4956476549304924
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,724.999537037037,0.49967519812914124
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,628.4602430555556,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,287.92199074074074,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,145.85133101851852,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,144.40775462962964,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,127.4957175925926,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,141.7548611111111,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,42.5,5.0,70.0,8500.0,340000.0,164.93098958333334,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,326.80162037037036,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,37.5,5.0,70.0,8500.0,340000.0,540.2433159722223,0.5000216534580573
